Place;ProductId;ProductName;UmId;UmName;Month;Year;Price
Ankara;184;Oil (sunflower) - Retail;15;L;4;2021;170.159
Ankara;184;Oil (sunflower) - Retail;15;L;5;2021;171.429
Ankara;185;Salt - Retail;5;KG;1;2021;27.899
Ankara;185;Salt - Retail;5;KG;2;2021;2.845
Ankara;185;Salt - Retail;5;KG;3;2021;30.469
Ankara;185;Salt - Retail;5;KG;4;2021;30.187
Ankara;185;Salt - Retail;5;KG;5;2021;31.109
Ankara;209;Coffee (instant) - Retail;33;Unit;1;2021;493.837
Ankara;209;Coffee (instant) - Retail;33;Unit;2;2021;507.009
Ankara;209;Coffee (instant) - Retail;33;Unit;3;2021;506.669
Ankara;209;Coffee (instant) - Retail;33;Unit;4;2021;496.795
Ankara;209;Coffee (instant) - Retail;33;Unit;5;2021;507.219
Ankara;231;Cauliflower - Retail;5;KG;1;2021;29.012
Ankara;231;Cauliflower - Retail;5;KG;2;2021;27.284
Ankara;231;Cauliflower - Retail;5;KG;3;2021;55.333
Ankara;239;Oil (olive) - Retail;15;L;1;2021;358.973
Ankara;239;Oil (olive) - Retail;15;L;2;2021;366.275
Ankara;239;Oil (olive) - Retail;15;L;3;2021;371.578
Ankara;239;Oil (olive) - Retail;15;L;4;2021;38.031
Ankara;239;Oil (olive) - Retail;15;L;5;2021;381.598
Ankara;244;Chickpeas - Retail;5;KG;1;2021;100.218
Ankara;244;Chickpeas - Retail;5;KG;2;2021;97.132
Ankara;244;Chickpeas - Retail;5;KG;3;2021;97.053
Ankara;244;Chickpeas - Retail;5;KG;4;2021;95.367
Ankara;244;Chickpeas - Retail;5;KG;5;2021;96.658
Ankara;254;Bananas - Retail;5;KG;1;2021;124.991
Ankara;254;Bananas - Retail;5;KG;2;2021;125.717
Ankara;254;Bananas - Retail;5;KG;3;2021;132.192
Ankara;254;Bananas - Retail;5;KG;4;2021;144.005
Ankara;254;Bananas - Retail;5;KG;5;2021;150.116
Ankara;258;Bulgur - Retail;5;KG;1;2021;59.702
Ankara;258;Bulgur - Retail;5;KG;2;2021;59.411
Ankara;258;Bulgur - Retail;5;KG;3;2021;59.112
Ankara;258;Bulgur - Retail;5;KG;4;2021;59.957
Ankara;258;Bulgur - Retail;5;KG;5;2021;5.999
Ankara;281;Tea - Retail;5;KG;1;2021;32.964
Ankara;281;Tea - Retail;5;KG;2;2021;334.107
Ankara;281;Tea - Retail;5;KG;3;2021;339.735
Ankara;281;Tea - Retail;5;KG;4;2021;340.453
Ankara;281;Tea - Retail;5;KG;5;2021;34.849
Ankara;285;Fuel (petrol-gasoline) - Retail;15;L;1;2021;72.555
Ankara;285;Fuel (petrol-gasoline) - Retail;15;L;2;2021;72.834
Ankara;285;Fuel (petrol-gasoline) - Retail;15;L;3;2021;72.215
Ankara;285;Fuel (petrol-gasoline) - Retail;15;L;4;2021;71.333
Ankara;285;Fuel (petrol-gasoline) - Retail;15;L;5;2021;7.384
Ankara;317;Tomatoes (paste) - Retail;5;KG;1;2021;98.028
Ankara;317;Tomatoes (paste) - Retail;5;KG;2;2021;9.949
Ankara;317;Tomatoes (paste) - Retail;5;KG;3;2021;96.125
Ankara;317;Tomatoes (paste) - Retail;5;KG;4;2021;95.998
Ankara;317;Tomatoes (paste) - Retail;5;KG;5;2021;98.552
Ankara;341;Fuel (gas) - Retail;90;12 KG;1;2021;72.555
Ankara;341;Fuel (gas) - Retail;90;12 KG;2;2021;72.834
Ankara;341;Fuel (gas) - Retail;90;12 KG;3;2021;72.215
Ankara;345;Apples - Retail;5;KG;1;2021;50.288
Ankara;345;Apples - Retail;5;KG;2;2021;51.112
Ankara;345;Apples - Retail;5;KG;3;2021;50.538
Ankara;345;Apples - Retail;5;KG;4;2021;50.344
Ankara;345;Apples - Retail;5;KG;5;2021;54.017
Ankara;360;Oranges - Retail;5;KG;1;2021;55.965
Ankara;360;Oranges - Retail;5;KG;2;2021;5.724
Ankara;360;Oranges - Retail;5;KG;3;2021;57.833
Ankara;360;Oranges - Retail;5;KG;4;2021;63.371
Ankara;360;Oranges - Retail;5;KG;5;2021;65.787
Ankara;364;Yogurt - Retail;5;KG;1;2021;74.779
Ankara;364;Yogurt - Retail;5;KG;2;2021;76.981
Ankara;364;Yogurt - Retail;5;KG;3;2021;78.523
Ankara;364;Yogurt - Retail;5;KG;4;2021;78.691
Ankara;364;Yogurt - Retail;5;KG;5;2021;Tem.79
Ankara;388;Cucumbers - Retail;5;KG;1;2021;59.703
Ankara;388;Cucumbers - Retail;5;KG;2;2021;71.837
Ankara;388;Cucumbers - Retail;5;KG;3;2021;5.553
Ankara;388;Cucumbers - Retail;5;KG;4;2021;51.688
Ankara;388;Cucumbers - Retail;5;KG;5;2021;35.745
Ankara;401;Fish (fresh) - Retail;5;KG;1;2021;400.028
Ankara;401;Fish (fresh) - Retail;5;KG;2;2021;415.886
Ankara;401;Fish (fresh) - Retail;5;KG;3;2021;418.929
Ankara;401;Fish (fresh) - Retail;5;KG;4;2021;442.961
Ankara;401;Fish (fresh) - Retail;5;KG;5;2021;505.755
Ankara;404;Spinach - Retail;5;KG;1;2021;39.547
Ankara;404;Spinach - Retail;5;KG;2;2021;33.731
Ankara;404;Spinach - Retail;5;KG;3;2021;32.874
Ankara;414;Cheese - Retail;5;KG;1;2021;277.129
Ankara;414;Cheese - Retail;5;KG;2;2021;285.901
Ankara;414;Cheese - Retail;5;KG;3;2021;279.313
Ankara;414;Cheese - Retail;5;KG;4;2021;282.457
Ankara;414;Cheese - Retail;5;KG;5;2021;290.296
Ankara;433;Meat (veal) - Retail;5;KG;1;2021;50.858
Ankara;433;Meat (veal) - Retail;5;KG;2;2021;538.245
Ankara;433;Meat (veal) - Retail;5;KG;3;2021;55.097
Ankara;433;Meat (veal) - Retail;5;KG;4;2021;55.833
Ankara;433;Meat (veal) - Retail;5;KG;5;2021;58.711
Ankara;434;Eggplants - Retail;5;KG;1;2021;63.515
Ankara;434;Eggplants - Retail;5;KG;2;2021;71.533
Ankara;434;Eggplants - Retail;5;KG;3;2021;74.302
Ankara;434;Eggplants - Retail;5;KG;4;2021;51.391
Ankara;434;Eggplants - Retail;5;KG;5;2021;49.141
Ankara;442;Milk (powder, infant formula) - Retail;5;KG;1;2021;1.527.002
Ankara;442;Milk (powder, infant formula) - Retail;5;KG;2;2021;1.517.855
Ankara;442;Milk (powder, infant formula) - Retail;5;KG;3;2021;1.507.114
Ankara;442;Milk (powder, infant formula) - Retail;5;KG;4;2021;1.541.594
Ankara;442;Milk (powder, infant formula) - Retail;5;KG;5;2021;1.504.715
Ankara;450;Zucchini - Retail;5;KG;1;2021;49.702
Ankara;450;Zucchini - Retail;5;KG;2;2021;6.126
Ankara;450;Zucchini - Retail;5;KG;3;2021;5.041
Ankara;450;Zucchini - Retail;5;KG;4;2021;54.975
Ankara;450;Zucchini - Retail;5;KG;5;2021;50.624
Ankara;463;Milk (pasteurized) - Retail;15;L;1;2021;60.106
Ankara;463;Milk (pasteurized) - Retail;15;L;2;2021;63.649
Ankara;463;Milk (pasteurized) - Retail;15;L;3;2021;64.342
Ankara;463;Milk (pasteurized) - Retail;15;L;4;2021;64.388
Ankara;463;Milk (pasteurized) - Retail;15;L;5;2021;63.565
Ankara;491;Electricity - Retail;101;kWh;1;2021;0.7975
Ankara;491;Electricity - Retail;101;kWh;2;2021;0.7975
Ankara;491;Electricity - Retail;101;kWh;3;2021;0.7975
Ankara;491;Electricity - Retail;101;kWh;4;2021;0.7975
Ankara;491;Electricity - Retail;101;kWh;5;2021;0.7975
Ankara;492;Tea (herbal) - Retail;102;Package;1;2021;62.905
Ankara;492;Tea (herbal) - Retail;102;Package;2;2021;60.312
Ankara;492;Tea (herbal) - Retail;102;Package;3;2021;63.769
Ankara;492;Tea (herbal) - Retail;102;Package;4;2021;63.633
Ankara;492;Tea (herbal) - Retail;102;Package;5;2021;65.511
Ankara;493;Water - Retail;100;Cubic meter;1;2021;52.435
Ankara;493;Water - Retail;100;Cubic meter;2;2021;52.435
